SEE;MC
123.158583;20.177183
177.498736;11.519884
177.608995;8.544033
184.957845;15.549467
133.162444;11.616337
118.551169;15.244929
158.830265;16.362284
175.251432;13.456435
172.817476;14.415245
185.002883;8.642120
137.966106;7.252579
141.646077;19.872180
179.904489;7.975159
120.710504;13.625706
176.738351;13.649874
157.073495;6.747693
168.975911;15.382150
145.842159;13.073315
158.694144;13.670666
197.894306;17.734904
153.080577;17.462408
128.824368;17.126304
170.665476;15.693077
146.467199;11.133281
167.634322;18.648184
176.080429;6.964486
148.678260;9.548287
193.913144;9.605125
170.988337;13.569346
136.372732;8.695721
181.153898;21.264358
174.207992;14.583275
158.200847;19.300315
179.024063;13.649944
124.421966;15.170932
169.889184;11.192329
122.745485;12.490385
170.160417;12.670686
190.858148;20.005260
186.349589;9.280614
187.503727;7.418969
153.343366;12.536500
195.155281;12.316116
183.530698;7.308840
125.584582;18.569505
128.932826;8.821675
165.423694;15.979072
156.840616;15.393583
125.290437;14.007319
167.237284;8.150394
176.475651;19.901925
120.488738;7.552922
170.958254;10.638811
148.270886;14.933024
127.550461;15.255421
158.339594;20.988288
161.249423;10.826981
176.724525;15.196398
199.715788;11.174173
144.631334;16.922427
168.614255;18.198483
197.171661;12.050862
196.667458;13.094516
188.760797;15.091546
163.636775;14.846491
148.716665;20.467829
190.297754;14.881793
142.824795;11.124970
164.438666;11.591959
166.060560;11.779352
178.612842;15.854566
174.342151;18.316895
142.178004;7.352862
144.261134;16.575325
142.821359;16.662716
138.937904;14.412849
173.845383;15.726327
167.279121;13.316486
139.466138;18.884458
152.668747;15.087781
165.092550;13.026228
139.290387;12.539182
133.672178;19.777427
123.678127;11.248397
151.889973;9.563373
143.640450;13.767061
178.374180;10.778580
159.722977;19.857446
141.658550;20.580902
122.260648;13.978657
153.222327;19.992381
123.291542;7.645278
141.427429;16.550935
171.673967;11.693891
155.033497;15.601848
156.822294;10.129708
124.147325;9.000323
192.128753;10.391164
176.965840;12.794711
164.214172;16.593138
average;
159.150583;13.772875
